Wrd,posAsm,posEng,IdeaID,Meanings
collective,বিশেষণ,Adjective,17874,জাতিবাচক
greenish,বিশেষণ,Adjective,17875,greeny
greeny,বিশেষণ,Adjective,17875,greenish
another,বিশেষণ,Adjective,17885,"different,any other"
different,বিশেষণ,Adjective,17885,"another,any other"
any other,বিশেষণ,Adjective,17885,"another,different"
rough,বিশেষণ,Adjective,17948,"কৰ্কশ,গেনগেনীয়া,harsh,gruff"
harsh,বিশেষণ,Adjective,17948,"কৰ্কশ,গেনগেনীয়া,rough,gruff"
gruff,বিশেষণ,Adjective,17948,"কৰ্কশ,গেনগেনীয়া,rough,harsh"
husky,বিশেষণ,Adjective,17948,"কৰ্কশ,গেনগেনীয়া,rough,harsh"
hoarse,বিশেষণ,Adjective,17948,"কৰ্কশ,গেনগেনীয়া,rough,harsh"
exophthalmos,বিশেষণ,Adjective,17986,"আয়তলোচন,proptosis"
proptosis,বিশেষণ,Adjective,17986,"আয়তলোচন,exophthalmos"
agreeable,বিশেষণ,Adjective,17993,"মনে মিলা,সন্মতজনক"
gapless,বিশেষণ,Adjective,18012,অব্যৱধান
anthropocentric,বিশেষণ,Adjective,18027,মানৱকেন্দ্ৰিক
synchronic,বিশেষণ,Adjective,18606,"এককালীন,সমকালীন"
rebellious,বিশেষণ,Adjective,18914,বিদ্ৰোহী
influence,বিশেষ্য,Noun,18085,অনুভাৱ
omega,বিশেষ্য,Noun,19104,जोब्था बाहागो
after,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,পৰত্ৰে,অনন্তৰে,গিদে-গিদে"
briefly,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,মোটমাত"
in short,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,মোটমাত"
for the time being,ক্ৰিয়া বিশেষণ,Adverb,164,"সম্প্ৰতি,সধ্যে,সদ্য,সদ্যহতে"
currently,ক্ৰিয়া বিশেষণ,Adverb,164,"সম্প্ৰতি,সধ্যে,সদ্য,সদ্যহতে"
per,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
each,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
every,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
per capita,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
surely,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
certainly,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
definitely,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
incontrovertibly,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
indubitably,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
